domain	mediabias_proscience	mediabias_questionblesources	mediabias_conspiracy_psydoscience
centraliowatimes.com	0.0	1.0	0.0
centrallousiananews.com	0.0	1.0	0.0
centraloctimes.com	0.0	1.0	0.0
cernovich.com	0.0	1.0	0.0
chambabasun.com	0.0	1.0	0.0
chicagocitywire.com	0.0	1.0	0.0
chicagodaily.pro	0.0	1.0	0.0
chicotimes.com	0.0	1.0	0.0
chinadaily.com.cn	0.0	1.0	0.0
christianaction.org	0.0	1.0	0.0
churchmilitant.com	0.0	1.0	0.0
citizensjournal.us	0.0	1.0	0.0
clarionproject.org	0.0	1.0	0.0
clashdaily.com	0.0	1.0	0.0
claycotimes.com	0.0	1.0	0.0
cloverchronicle.com	0.0	1.0	0.0
cnsnews.com	0.0	1.0	0.0
coachellatoday.com	0.0	1.0	0.0
coastalganews.com	0.0	1.0	0.0
cobbreporter.com	0.0	1.0	0.0
coconinonews.com	0.0	1.0	0.0
columbusstandard.com	0.0	1.0	0.0
concernedwomen.org	0.0	1.0	0.0
conservapedia.com	0.0	1.0	0.0
conservativebeaver.com	0.0	1.0	0.0
conservativedailynews.com	0.0	1.0	0.0
conservativedailypost.com	0.0	1.0	0.0
conservativefiringline.com	0.0	1.0	0.0
conservativefreepress.com	0.0	1.0	0.0
conservativematrix.com	0.0	1.0	0.0
conservativepapers.com	0.0	1.0	0.0
conservativeplaylist.com	0.0	1.0	0.0
conservativepost.com	0.0	1.0	0.0
constitutionstatenews.com	0.0	1.0	0.0
corona-transition.com	0.0	1.0	0.0
councilforthenationalinterest.org	0.0	1.0	0.0
cowgernation.org	0.0	1.0	0.0
dagospia.org	0.0	1.0	0.0
dailybuzzlive.org	0.0	1.0	0.0
dailyheadlines.net	0.0	1.0	0.0
dailymail.co.uk	0.0	1.0	0.0
dailypoliticalnewswire.com	0.0	1.0	0.0
dailystar.co.uk	0.0	1.0	0.0
dailystormer.name	0.0	1.0	0.0
dailysurge.com	0.0	1.0	0.0
dcbluedot.com	0.0	1.0	0.0
dcclothesline.com	0.0	1.0	0.0
dcdirtylaundry.com	0.0	1.0	0.0
de.rt.com	0.0	1.0	0.0
debka.com	0.0	1.0	0.0
